Temp,Rain,Wind
17.4,0.0,4.9
14.7,0.0,5.8
17.4,0.0,5.4
20.8,0.0,6.3
18.2,0.0,4.9
23.4,0.0,2.7
17.8,0.0,1.3
12.7,0.0,1.8
17.4,0.0,5.4
11.6,0.0,4.5
19.8,0.0,5.4
19.8,0.0,5.4
14.4,0.0,5.4
20.1,0.0,4.0
24.1,0.0,4.5
5.3,0.0,3.1
12.7,0.0,6.3
18.2,0.0,3.1
21.4,0.0,3.1
20.3,0.0,3.1
17.4,0.0,5.4
13.7,0.0,5.8
18.8,0.0,4.5
22.8,0.0,3.6
18.9,0.0,2.7
15.8,0.0,7.6
15.5,0.0,6.3
11.6,0.0,6.3
15.2,0.0,4.9
10.6,0.0,4.0
19.6,0.0,3.1
10.3,0.0,2.2
17.1,0.0,5.4
22.5,0.0,5.4
17.9,0.0,3.1
19.8,0.0,5.4
20.6,0.0,5.4
9.0,0.0,2.2
17.2,0.0,3.1
15.9,0.0,3.6
15.4,0.0,0.9
15.4,0.0,2.7
14.0,0.0,3.1
10.6,0.0,4.9
17.6,0.0,3.1
14.9,0.0,2.7
17.6,0.0,5.8
17.2,0.0,1.3
15.6,0.0,3.1
18.0,0.0,2.7
21.7,0.0,2.2
21.9,0.0,1.8
23.3,0.0,4.5
21.2,0.0,8.9
16.6,0.0,5.4
23.8,0.0,5.4
27.4,0.0,4.0
13.2,0.0,5.4
24.2,0.0,3.6
17.4,0.0,6.7
23.7,0.0,4.5
23.2,0.0,5.4
24.8,0.0,2.2
24.6,0.0,1.8
20.1,0.0,4.9
29.6,0.0,2.7
16.4,0.0,1.3
28.6,0.0,2.2
18.4,0.0,3.6
20.5,0.0,4.0
19.0,0.0,5.8
16.1,0.0,3.1
20.3,0.0,4.0
15.2,0.0,8.5
17.8,0.0,1.8
17.8,0.0,2.2
5.3,0.0,4.5
16.6,0.0,0.9
23.4,0.0,4.5
14.6,0.0,9.4
20.7,0.0,2.2
21.9,0.0,1.8
17.4,0.0,4.0
20.1,0.0,5.4
17.7,0.0,2.2
14.2,0.0,1.8
20.3,0.0,4.9
5.8,0.0,5.8
19.2,0.0,2.7
18.3,0.0,2.2
14.4,0.0,5.4
23.9,0.0,6.7
19.1,0.0,4.0
12.4,0.0,2.2
16.8,0.0,4.5
20.8,0.0,4.9
17.6,0.0,3.1
11.5,0.0,5.8
21.0,0.0,2.2
13.3,0.0,0.9
11.5,0.0,4.0
11.7,0.0,4.0
24.2,0.0,2.7
24.6,0.0,4.5
24.3,0.0,4.0
24.6,0.0,4.5
23.5,0.0,5.4
5.8,0.0,5.8
21.5,0.0,0.9
13.9,0.0,6.3
22.6,0.0,3.6
21.6,0.0,2.2
12.4,0.0,3.6
8.8,0.0,2.2
20.2,0.0,2.7
15.1,0.0,4.0
22.1,0.0,1.8
22.9,0.0,7.2
20.7,0.0,2.2
19.6,0.0,6.3
23.2,0.0,4.9
18.4,0.0,3.1
5.1,0.0,5.8
20.1,0.0,4.9
11.0,0.0,5.8
17.0,0.0,4.9
17.0,0.0,4.9
16.9,0.0,1.3
12.4,0.0,6.3
19.4,0.0,1.3
15.2,0.0,3.1
16.2,0.0,3.1
18.6,0.0,3.6
11.0,0.0,5.8
13.4,0.0,3.6
15.4,0.0,4.5
22.9,0.0,4.9
16.1,0.0,4.0
20.1,0.0,4.5
28.3,0.0,3.1
16.4,0.0,4.0
26.4,0.0,4.5
27.8,0.0,3.1
18.7,0.0,2.7
24.3,0.0,3.1
17.7,0.0,3.1
19.6,0.0,5.8
18.2,0.0,1.8
18.8,0.0,2.2
25.1,0.0,4.0
13.4,0.0,1.8
15.2,0.0,2.7
16.7,0.0,3.1
15.4,0.0,4.0
21.9,1.0,7.6
22.4,0.0,7.6
26.8,0.0,6.3
25.7,0.0,5.4
20.7,0.0,2.2
28.7,0.0,2.7
21.7,0.0,0.4
26.8,0.0,3.1
24.0,0.0,3.1
22.1,0.0,3.6
21.4,0.0,2.7
18.9,0.0,3.1
22.3,0.0,4.0
23.9,0.0,2.2
21.4,0.0,2.7
20.6,0.0,0.9
23.7,0.0,1.8
28.3,0.0,4.0
11.2,0.0,7.6
21.4,0.0,3.1
19.3,0.0,3.6
21.8,0.0,3.1
22.1,0.0,7.6
19.4,0.0,4.0
23.7,0.0,3.1
21.0,0.0,3.1
19.1,0.0,2.7
21.8,0.0,3.1
20.1,0.0,4.5
20.2,0.0,4.0
4.8,0.0,8.5
5.1,0.0,8.0
5.1,0.0,4.9
4.6,0.0,8.5
4.6,0.0,8.5
4.6,0.0,8.5
4.6,0.0,8.5
2.2,0.0,4.9
5.1,0.0,8.5
4.2,0.0,4.0
8.8,0.0,3.1
7.5,0.0,8.0
23.4,0.0,6.3
12.6,0.2,7.6
22.1,0.0,2.7
24.2,0.0,1.8
24.3,0.0,1.8
18.7,0.0,1.8
25.3,0.0,0.9
22.9,0.0,1.3
26.9,0.0,5.4
17.1,0.0,3.6
22.2,0.0,1.3
14.3,0.0,1.8
15.4,0.0,2.2
19.6,0.0,4.9
10.6,0.0,2.7
20.7,0.0,4.9
19.1,0.0,5.4
19.2,0.0,4.5
19.2,0.0,4.5
11.3,0.0,4.9
19.0,0.0,2.2
17.1,0.0,5.4
23.8,0.0,3.6
16.0,0.0,1.8
24.9,0.0,2.2
25.3,0.0,2.7
24.8,0.0,1.8
12.2,0.0,6.3
24.3,0.0,4.9
19.7,0.0,1.8
18.5,0.0,2.7
18.6,0.0,5.8
19.2,0.0,4.9
21.6,0.0,2.2
21.6,0.0,6.3
18.9,0.0,7.2
16.8,0.0,4.0
16.8,0.0,4.0
12.9,0.0,2.7
13.7,0.0,1.8
24.2,0.0,3.1
24.1,0.0,3.1
21.2,0.0,2.2
19.7,0.0,1.8
23.5,0.0,4.0
24.2,0.0,3.1
21.5,0.0,4.5
17.1,0.0,2.2
18.1,0.0,3.1
18.0,0.0,5.4
9.8,0.0,1.8
19.3,0.0,2.2
23.0,0.0,2.2
22.7,0.0,2.2
20.4,0.0,1.8
19.3,0.0,2.2
15.7,0.0,2.2
20.6,0.0,1.8
15.9,0.0,4.5
12.2,0.0,4.9
16.8,0.0,3.1
21.3,0.0,2.2
10.1,0.0,3.6
17.4,0.0,4.5
12.8,0.0,3.6
10.1,0.0,3.6
15.4,0.0,6.3
20.6,0.0,3.6
19.8,0.0,2.7
18.7,0.0,2.2
20.8,0.0,4.9
20.8,0.0,4.9
15.9,0.0,3.6
19.7,0.0,2.7
21.1,0.0,2.2
18.4,0.0,2.2
17.3,0.0,4.0
15.2,0.0,3.1
15.9,0.0,2.2
21.1,0.0,2.7
19.6,0.0,3.1
15.9,0.0,5.4
16.4,0.0,3.6
16.8,0.0,4.9
13.8,0.0,7.6
13.8,0.0,7.6
14.2,0.0,4.0
10.4,0.0,0.9
20.3,0.0,2.7
10.3,0.0,4.0
15.4,0.0,4.9
21.1,0.0,2.2
21.9,0.0,2.2
8.7,0.0,5.8
5.2,0.0,0.9
19.3,0.0,7.2
16.2,0.0,2.7
28.2,0.0,1.8
20.5,0.0,2.7
21.3,0.0,4.5
20.9,0.0,2.2
20.6,0.0,5.4
11.6,0.0,5.4
23.3,0.0,3.1
23.3,0.0,3.1
7.5,0.0,6.3
20.7,0.0,2.7
21.9,0.0,4.0
15.2,0.0,7.6
5.3,0.0,1.8
10.1,0.0,1.8
20.4,0.0,4.9
24.3,0.0,3.6
25.9,0.0,3.1
28.0,0.0,4.5
28.0,0.0,4.5
22.8,0.0,4.0
25.0,0.0,4.0
21.3,0.0,3.6
21.8,0.0,2.2
27.9,0.0,2.2
17.0,0.0,4.9
14.2,0.0,4.0
19.9,0.0,3.1
23.4,0.0,5.4
14.7,0.0,2.7
8.2,0.0,9.4
22.8,0.0,4.5
26.4,0.0,3.6
24.1,0.0,4.0
27.5,0.0,4.9
26.3,0.0,3.1
13.8,0.0,5.8
24.9,0.0,5.4
24.8,0.0,4.0
26.2,0.0,4.5
30.8,0.0,4.5
29.3,0.0,3.6
22.3,0.0,4.0
26.9,0.0,3.6
20.4,0.0,2.2
20.4,0.0,2.2
27.9,0.0,2.2
26.2,0.0,5.8
24.6,0.0,4.0
19.4,0.0,3.6
23.3,0.0,4.0
23.9,0.0,6.7
20.9,0.0,4.9
22.2,0.0,3.6
23.8,0.0,1.8
26.8,0.0,1.3
14.2,0.0,2.7
23.6,0.0,4.0
19.1,0.0,2.2
16.2,0.0,3.6
25.5,0.0,1.8
10.9,0.0,3.1
14.8,0.0,8.0
16.2,0.0,3.6
17.3,0.0,4.5
19.1,0.0,2.2
8.9,0.0,8.0
10.5,0.0,4.0
19.3,0.0,4.9
23.4,0.0,5.4
11.8,0.0,4.9
17.7,0.0,4.0
17.4,0.0,3.1
16.8,0.0,3.1
17.9,0.0,2.7
16.6,0.0,2.7
19.9,0.0,4.0
18.9,0.0,4.9
15.5,0.0,8.0
18.9,0.0,4.9
18.9,0.0,4.9
14.5,0.0,7.6
4.6,0.0,6.3
5.1,0.0,5.4
4.6,0.0,0.9
10.2,0.0,5.8
11.2,0.0,5.4
13.3,0.0,3.6
13.7,0.0,9.4
17.6,0.0,5.8
18.0,0.0,4.0
14.3,0.0,4.0
24.5,0.0,3.1
26.4,0.0,2.7
22.7,0.0,9.4
27.2,0.0,1.3
26.1,0.0,4.0
18.2,0.0,4.5
22.6,0.0,4.9
30.2,0.0,4.5
30.2,0.0,4.9
23.4,0.0,5.8
31.0,0.0,5.4
33.1,0.0,4.0
30.6,0.0,3.6
24.1,0.0,6.3
26.4,0.0,3.6
19.4,0.0,7.6
20.6,0.0,1.3
28.7,0.0,4.0
32.4,0.0,4.5
32.4,0.0,2.2
27.5,0.0,4.5
30.8,0.0,4.9
23.9,0.0,2.2
32.6,0.0,3.1
32.3,0.0,2.2
33.3,0.0,2.7
27.3,6.4,4.9
21.6,0.8,4.9
21.6,0.8,4.9
20.7,0.4,4.9
29.2,0.0,4.9
28.9,0.0,4.9
26.7,0.0,1.8
18.5,0.0,8.5
25.9,0.0,3.6
25.9,0.0,3.6
21.1,1.4,7.6
18.2,0.0,5.4
27.8,0.0,2.7
27.8,0.0,2.7
21.9,0.0,5.8
21.2,0.0,6.7
25.6,0.0,4.0
11.8,0.0,4.5
